county_fips,Population 2020
12041,"17,864"
12043,"12,126"
12045,"14,192"
12047,"14,004"
12049,"25,327"
12051,"39,619"
12053,"194,515"
12055,"101,235"
12057,"1,459,762"
12059,"19,653"
12061,"159,788"
12063,"47,319"
12065,"14,510"
12067,"8,226"
12069,"383,956"
12071,"760,822"
12073,"292,198"
12075,"42,915"
12077,"7,974"
12079,"17,968"
12081,"399,710"
12083,"375,908"
12085,"158,431"
12086,"2,701,767"
12087,"82,874"
12089,"90,352"
12091,"211,668"
12093,"39,644"
12095,"1,429,908"
12097,"388,656"
12099,"1,492,191"
12101,"561,891"
12103,"959,107"
12105,"725,046"
12107,"73,321"
12109,"273,425"
12111,"329,226"
12113,"188,000"
12115,"434,006"
12117,"470,856"
12119,"129,752"
12121,"43,474"
12123,"21,796"
12125,"16,147"
12127,"553,543"
12129,"33,764"
12131,"75,305"
12133,"25,318"
13000,"10,711,908"
13001,"18,444"
13003,"8,286"
13005,"11,140"
13007,"2,876"
13009,"43,799"
13011,"18,035"
13013,"83,505"
13015,"108,901"
13017,"17,194"
13019,"18,160"
13021,"157,346"
13023,"12,583"
13025,"18,021"
13027,"16,301"
13029,"44,738"
13031,"81,099"
13033,"24,596"
13035,"25,434"
13037,"5,573"
13039,"54,768"
13043,"10,981"
13045,"119,148"
13047,"67,872"
13049,"12,518"
13051,"295,291"
13053,"9,565"
13055,"24,965"
13057,"266,620"
13059,"128,671"
13061,"2,848"
13063,"297,595"
13065,"6,749"
13067,"766,149"
13069,"43,092"
13071,"45,898"
13073,"156,010"
13075,"17,229"
13077,"146,158"
13079,"12,130"
13081,"20,128"
13083,"16,251"
13085,"26,798"
13087,"29,367"
13089,"764,382"
13091,"19,925"
13093,"11,208"
13095,"85,790"
13097,"144,237"
13099,"10,854"
13101,"3,697"
13103,"64,769"
13105,"19,637"
13107,"22,768"
13109,"10,774"
13111,"25,319"
13113,"119,194"
13115,"98,584"
13117,"251,283"
13119,"23,424"
13121,"1,066,710"
13123,"31,353"
13125,"2,884"
13127,"84,499"
13129,"57,544"
13131,"26,236"
13133,"18,915"
13135,"957,062"
13137,"46,031"
13139,"203,136"
13141,"8,735"
13143,"29,919"
13145,"34,668"
13147,"25,828"
13149,"11,412"
13151,"240,712"
13153,"163,633"
13155,"9,666"
13157,"75,907"
13159,"14,588"
13161,"14,779"
13163,"15,709"
13165,"8,674"
13167,"9,189"
13169,"28,347"
13171,"18,500"
13173,"9,877"
13175,"49,570"
13177,"33,163"
13179,"65,256"
13181,"7,690"
13183,"16,168"
13185,"118,251"
13187,"33,488"
13189,"21,632"
13191,"10,975"
13193,"12,082"
13195,"30,120"
13197,"7,498"
13199,"20,613"
13201,"6,000"
13205,"21,755"
13207,"27,957"
13209,"8,610"
13211,"20,097"
13213,"39,973"
13215,"206,922"
13217,"112,483"
13219,"41,799"
13221,"14,825"
13223,"168,661"
13225,"27,981"
13227,"33,216"
13229,"19,716"
13231,"18,889"
13233,"42,853"
13235,"9,855"
13237,"22,047"
13239,"2,235"
13241,"16,883"
13243,"6,425"
13245,"206,607"
13247,"93,570"
13249,"4,547"
13251,"14,067"
13253,"9,147"
13255,"67,306"
13257,"26,784"
13259,"5,314"
13261,"29,616"
13263,"5,733"
13265,"1,559"
13267,"22,842"
13269,"7,816"
13271,"12,477"
13273,"9,185"
13275,"45,798"
13277,"41,344"
13279,"27,030"
13281,"12,493"
13283,"6,406"
13285,"69,426"
13287,"9,006"
13289,"8,022"
13291,"24,632"
13293,"27,700"
13295,"67,654"
13297,"96,673"
13299,"36,251"
13301,"5,215"
13303,"19,988"
13305,"30,144"
13307,"2,348"
13309,"7,471"
13311,"28,003"
13313,"102,864"
13315,"8,766"
13317,"9,565"
13319,"8,877"
13321,"20,784"
15000,"1,455,271"
15001,"200,629"
15003,"1,016,508"
15005,82
15007,"73,298"
15009,"164,754"
16000,"1,839,106"
16001,"494,967"
16003,"4,379"
16005,"87,018"
16007,"6,372"
16009,"9,530"
16011,"47,992"
16013,"24,272"
16015,"7,610"
16017,"47,110"
16019,"123,964"
16021,"12,056"
16023,"2,574"
16025,"1,077"
16027,"231,105"
16029,"7,027"
16031,"24,655"
16033,790
16035,"8,734"
16037,"4,275"
16039,"28,666"
16041,"14,194"
16043,"13,388"
16045,"19,123"
16047,"15,598"
16049,"16,541"
16051,"30,891"
16053,"24,237"
16055,"171,362"
16057,"39,517"
16059,"7,974"
16061,"3,533"
16063,"5,127"
16065,"52,913"
16067,"21,613"
16069,"42,090"
16071,"4,564"
16073,"11,913"
16075,"25,386"
16077,"7,878"
16079,"13,169"
16081,"11,630"
16083,"90,046"
16085,"11,746"
16087,"10,500"
17000,"12,812,508"
17001,"65,737"
17003,"5,240"
17005,"16,725"
17007,"53,448"
17009,"6,244"
17011,"33,244"
17013,"4,437"
17015,"15,702"
17017,"13,042"
17019,"205,865"
17021,"34,032"
17023,"15,455"
17025,"13,288"
17027,"36,899"
17029,"46,863"
17031,"5,275,541"
17033,"18,679"
17035,"10,450"
17037,"100,420"
17039,"15,516"
17041,"19,740"
17043,"932,877"
17045,"16,866"
17047,"6,245"
17049,"34,668"
17051,"21,488"
17053,"13,534"
17055,"37,804"
17057,"33,609"
17059,"4,946"
17061,"11,985"
17063,"52,533"
17065,"7,993"
17067,"17,620"
17069,"3,649"
17071,"6,387"
17073,"49,284"
17075,"27,077"
17077,"52,974"
17079,"9,287"
17081,"37,113"
17083,"21,512"
17085,"22,035"
17087,"13,308"
17089,"516,522"
17091,"107,502"
17093,"131,869"
17095,"49,967"
17097,"714,342"
17099,"109,658"
17101,"15,280"
17103,"34,145"
17105,"35,815"
17107,"27,987"
17109,"27,238"
17111,"310,229"
17113,"170,954"
17115,"103,998"
17117,"44,967"
17119,"265,859"
17121,"37,729"
17123,"11,742"
17125,"13,086"
17127,"14,169"
17129,"12,297"
17131,"15,699"
17133,"34,962"
17135,"28,288"
17137,"32,915"
17139,"14,526"
17141,"51,788"
17143,"181,830"
17145,"20,945"
17147,"16,673"
17149,"14,739"
17151,"3,763"
17153,"5,193"
17155,"5,637"
17157,"30,163"
17159,"15,813"
17161,"144,672"
17163,"257,400"
17165,"23,768"
17167,"196,343"
17169,"6,902"
17171,"4,949"
17173,"20,990"
17175,"5,400"
17177,"44,630"
17179,"131,343"
17181,"17,244"
17183,"74,188"
17185,"11,361"
17187,"16,835"
17189,"13,761"
17191,"16,179"
17193,"13,877"
17195,"55,691"
17197,"696,355"
17199,"67,153"
17201,"285,350"
17203,"38,467"
18000,"6,785,528"
18001,"35,809"
18003,"385,410"
18005,"82,208"
18007,"8,719"
18009,"12,112"
18011,"70,812"
18013,"15,475"
18015,"20,306"
18017,"37,870"
18019,"121,093"
18021,"26,466"
18023,"33,190"
18025,"10,526"
18027,"33,381"
18029,"50,679"
18031,"26,472"
18033,"43,265"
18035,"111,903"
18037,"43,637"
18039,"207,047"
18041,"23,398"
18043,"80,484"
18045,"16,479"
18047,"22,785"
18049,"20,480"
18051,"33,011"
18053,"66,674"
18055,"30,803"
18057,"347,467"
18059,"79,840"
18061,"39,654"
18063,"174,788"
18065,"48,914"
18067,"83,658"
18069,"36,662"
18071,"46,428"
18073,"32,918"
18075,"20,478"
18077,"33,147"
18079,"27,613"
18081,"161,765"
18083,"36,282"
18085,"80,240"
18087,"40,446"
18089,"498,700"
18091,"112,417"
18093,"45,011"
18095,"130,129"
18097,"977,203"
18099,"46,095"
18101,"9,812"
18103,"35,962"
18105,"139,718"
18107,"37,936"
18109,"71,780"
18111,"13,830"
18113,"47,457"
18115,"5,940"
18117,"19,867"
18119,"21,321"
18121,"16,156"
18123,"19,170"
18125,"12,250"
18127,"173,215"
18129,"25,222"
18131,"12,514"
18133,"36,726"
18135,"24,502"
18137,"28,995"
18139,"16,752"
18141,"272,912"
18143,"24,384"
18145,"45,055"
18147,"19,810"
18149,"23,371"
18151,"34,435"
18153,"20,817"
18155,"9,737"
18157,"186,251"
18159,"15,359"
18161,"7,087"
18163,"180,136"
18165,"15,439"
18167,"106,153"
18169,"30,976"
18171,"8,440"
18173,"63,898"
18175,"28,182"
18177,"66,553"
18179,"28,180"
18181,"24,688"
18183,"34,191"
19000,"3,190,369"
19001,"7,496"
19003,"3,704"
19005,"14,061"
19007,"12,317"
19009,"5,674"
19011,"25,575"
19013,"131,144"
19015,"26,715"
19017,"24,988"
19019,"20,565"
19021,"20,823"
19023,"14,334"
19025,"9,927"
19027,"20,760"
19029,"13,127"
19031,"18,505"
19033,"43,127"
19035,"11,658"
19037,"12,012"
19039,"9,748"
19041,"16,384"
19043,"17,043"
19045,"46,460"
19047,"16,525"
19049,"99,678"
19051,"9,110"
19053,"7,645"
19055,"17,488"
19057,"38,910"
19059,"17,703"
19061,"99,266"
19063,"9,388"
19065,"19,509"
19067,"15,627"
19069,"10,019"
19071,"6,605"
19073,"8,771"
19075,"12,329"
19077,"10,623"
19079,"15,039"
19081,"10,795"
19083,"16,878"
19085,"14,582"
19087,"20,482"
19089,"9,469"
19091,"9,597"
19093,"7,005"
19095,"16,662"
19097,"19,485"
19099,"37,813"
19101,"15,663"
19103,"152,854"
19105,"20,646"
19107,"10,033"
19109,"14,828"
19111,"33,555"
19113,"230,299"
