State,County,2024R,2024D,2024O,2024TOT,2024RPCT,2024DPCT,2024OPCT,2020R,2020D,2020O,2020TOT,2020RPCT,2020DPCT,2020OPCT,2020POP,2010POP,Urban20,Rural20,White20,Hispanic20,Black20,Asian20,Native20,Pacific20
Indiana,Madison,34837,19824,1211,55872,62.35%,35.48%,2.17%,31215,19524,1151,51890,60.16%,37.63%,2.21%,130129,131636,75.38%,24.62%,106928,6263,12320,1130,3000,121
Indiana,Marion,124327,221719,8322,354368,35.08%,62.57%,2.35%,134175,247772,9187,391134,34.30%,63.35%,2.35%,977203,903393,99.12%,0.88%,493665,129286,294394,47232,20264,1540
Indiana,Marshall,13837,5356,423,19616,70.54%,27.30%,2.16%,13844,5712,397,19953,69.38%,28.63%,1.99%,46095,47051,26.64%,73.36%,38910,5251,489,430,900,25
Indiana,Martin,3961,933,98,4992,79.35%,18.69%,1.96%,4029,1011,115,5155,78.16%,19.61%,2.23%,9812,10334,0.00%,100.00%,9335,92,79,76,226,16
Indiana,Miami,10670,3046,282,13998,76.23%,21.76%,2.01%,10925,3235,333,14493,75.38%,22.32%,2.30%,35962,36903,54.44%,45.56%,31123,1186,2275,257,1047,46
Indiana,Monroe,21004,37213,1385,59602,35.24%,62.44%,2.32%,22071,39861,1219,63151,34.95%,63.12%,1.93%,139718,137974,78.80%,21.20%,112490,6358,7419,10220,2791,206
Indiana,Montgomery,12122,4134,371,16627,72.91%,24.86%,2.23%,12659,4213,326,17198,73.61%,24.50%,1.89%,37936,38124,47.09%,52.91%,33748,2281,607,391,779,60
Indiana,Morgan,26965,7765,693,35423,76.12%,21.92%,1.96%,27512,7781,928,36221,75.96%,21.48%,2.56%,71780,68894,45.90%,54.10%,66972,1274,811,507,1750,59
Indiana,Newton,5131,1370,100,6601,77.73%,20.75%,1.51%,4942,1509,158,6609,74.78%,22.83%,2.39%,13830,14244,0.00%,100.00%,12053,1039,97,77,394,30
Indiana,Noble,14209,4462,321,18992,74.82%,23.49%,1.69%,14195,4660,362,19217,73.87%,24.25%,1.88%,47457,47536,22.31%,77.69%,40235,5250,489,465,963,49
Indiana,Ohio,2381,666,44,3091,77.03%,21.55%,1.42%,2392,750,22,3164,75.60%,23.70%,0.70%,5940,6128,0.00%,100.00%,5629,79,49,50,116,29
Indiana,Orange,6467,1988,140,8595,75.24%,23.13%,1.63%,6432,2224,188,8844,72.73%,25.15%,2.12%,19867,19840,0.00%,100.00%,18527,305,345,99,456,34
Indiana,Owen,7360,2354,162,9876,74.52%,23.84%,1.64%,7286,2420,211,9917,73.47%,24.40%,2.13%,21321,21575,0.00%,100.00%,19874,297,237,165,624,24
Indiana,Parke,5158,1371,125,6654,77.52%,20.60%,1.88%,5400,1503,119,7022,76.90%,21.40%,1.70%,16156,17339,0.63%,99.37%,15329,225,259,62,229,2
Indiana,Perry,5549,2970,164,8683,63.91%,34.20%,1.89%,5345,3203,189,8737,61.18%,36.66%,2.16%,19170,19338,45.70%,54.30%,17853,220,500,178,322,17
Indiana,Pike,4610,1314,89,6013,76.67%,21.85%,1.48%,4692,1415,118,6225,75.37%,22.73%,1.90%,12250,12845,0.00%,100.00%,11666,180,108,35,215,20
Indiana,Porter,46109,37213,1647,84969,54.27%,43.80%,1.94%,45008,39746,2014,86768,51.87%,45.81%,2.32%,173215,164343,76.42%,23.58%,136993,18904,9575,3479,3785,193
Indiana,Posey,9206,3572,201,12979,70.93%,27.52%,1.55%,9209,3817,247,13273,69.38%,28.76%,1.86%,25222,25910,29.59%,70.41%,23640,375,447,194,461,29
Indiana,Pulaski,4372,1280,111,5763,75.86%,22.21%,1.93%,4246,1463,104,5813,73.04%,25.17%,1.79%,12514,13402,0.00%,100.00%,11442,458,153,99,316,12
Indiana,Putnam,12566,3871,329,16766,74.95%,23.09%,1.96%,12278,3946,399,16623,73.86%,23.74%,2.40%,36726,37963,27.75%,72.25%,33150,784,1253,545,705,100
Indiana,Randolph,8008,2349,208,10565,75.80%,22.23%,1.97%,8312,2513,254,11079,75.02%,22.68%,2.30%,24502,26171,33.43%,66.57%,22325,1156,311,151,474,19
Indiana,Ripley,11526,2682,197,14405,80.01%,18.62%,1.37%,11261,2774,257,14292,78.79%,19.41%,1.80%,28995,28818,18.63%,81.37%,27213,541,202,269,634,8
Indiana,Rush,5812,1675,169,7656,75.91%,21.88%,2.21%,6035,1754,152,7941,76.00%,22.09%,1.91%,16752,17392,38.62%,61.38%,15876,252,232,102,270,20
Indiana,St. Joseph,53585,55215,2024,110824,48.35%,49.82%,1.83%,53164,59896,2178,115238,46.13%,51.98%,1.89%,272912,266931,89.98%,10.02%,188556,26576,43155,8881,6184,462
Indiana,Scott,7633,2389,165,10187,74.93%,23.45%,1.62%,7331,2701,150,10182,72.00%,26.53%,1.47%,24384,24181,31.08%,68.92%,22829,535,237,168,485,32
Indiana,Shelby,14438,4955,361,19754,73.09%,25.08%,1.83%,14568,5023,426,20017,72.78%,25.09%,2.13%,45055,44436,47.41%,52.59%,40305,2377,956,515,805,47
Indiana,Spencer,7364,2853,225,10442,70.52%,27.32%,2.15%,7357,3213,219,10789,68.19%,29.78%,2.03%,19810,20952,0.00%,100.00%,18368,676,254,134,317,9
Indiana,Starke,7889,2436,153,10478,75.29%,23.25%,1.46%,7469,2651,193,10313,72.42%,25.71%,1.87%,23371,23363,0.00%,100.00%,21395,902,172,123,569,24
Indiana,Steuben,11487,4598,324,16409,70.00%,28.02%,1.97%,11327,4513,344,16184,69.99%,27.89%,2.12%,34435,34185,36.84%,63.16%,31438,1427,441,321,563,23
Indiana,Sullivan,6639,2006,150,8795,75.49%,22.81%,1.71%,6691,2153,164,9008,74.28%,23.90%,1.82%,20817,21475,23.41%,76.59%,18856,334,995,97,451,21
Indiana,Switzerland,3319,873,66,4258,77.95%,20.50%,1.55%,3133,964,62,4159,75.33%,23.18%,1.49%,9737,10613,0.00%,100.00%,9262,114,80,47,192,17
Indiana,Tippecanoe,32783,32683,1728,67194,48.79%,48.64%,2.57%,34581,35017,2226,71824,48.15%,48.75%,3.10%,186251,172780,84.35%,15.65%,131465,18647,14118,18265,3395,2928
Indiana,Tipton,5946,1893,159,7998,74.34%,23.67%,1.99%,6110,1834,180,8124,75.21%,22.58%,2.21%,15359,15936,38.46%,61.54%,14367,434,136,113,254,20
Indiana,Union,2698,746,50,3494,77.22%,21.35%,1.43%,2688,736,68,3492,76.98%,21.08%,1.94%,7087,7516,0.00%,100.00%,6765,74,61,73,118,24
Indiana,Vanderburgh,41056,31727,1049,73832,55.61%,42.97%,1.42%,41844,34415,1403,77662,53.88%,44.31%,1.81%,180136,179703,92.04%,7.96%,143444,6313,22165,3484,3646,835
Indiana,Vermillion,5174,1928,164,7266,71.21%,26.53%,2.26%,5184,2145,161,7490,69.21%,28.64%,2.15%,15439,16212,41.34%,58.66%,14692,168,123,99,235,31
Indiana,Vigo,23738,16338,947,41023,57.87%,39.83%,2.31%,24545,18123,1030,43698,56.17%,41.47%,2.36%,106153,107848,75.23%,24.77%,88137,3239,9203,2604,2252,121
Indiana,Wabash,10425,3335,220,13980,74.57%,23.86%,1.57%,10762,3494,342,14598,73.72%,23.93%,2.35%,30976,32888,49.85%,50.15%,28634,897,394,249,690,41
Indiana,Warren,3402,898,70,4370,77.85%,20.55%,1.60%,3401,974,98,4473,76.03%,21.78%,2.19%,8440,8508,0.00%,100.00%,8018,1993,40,58,131,7
Indiana,Warrick,21280,11292,624,33196,64.10%,34.02%,1.88%,21326,11923,641,33890,62.93%,35.18%,1.89%,63898,59689,73.26%,26.74%,57346,1383,1699,2001,1150,48
Indiana,Washington,9739,2764,220,12723,76.55%,21.72%,1.73%,9114,2784,241,12139,75.08%,22.93%,1.99%,28182,28262,23.48%,76.52%,26600,400,313,176,568,24
Indiana,Wayne,17526,8828,473,26827,65.33%,32.91%,1.76%,17567,9524,588,27679,63.47%,34.41%,2.12%,66553,68917,62.30%,37.70%,56689,2495,4715,994,1380,57
Indiana,Wells,11006,2850,280,14136,77.86%,20.16%,1.98%,10855,2928,297,14080,77.10%,20.80%,2.10%,28180,27636,36.71%,63.29%,26000,1019,418,209,454,26
Indiana,White,7969,2945,262,11176,71.30%,26.35%,2.34%,7957,3032,198,11187,71.13%,27.10%,1.77%,24688,24643,38.61%,61.39%,21203,2453,283,165,565,32
Indiana,Whitley,13122,4275,377,17774,73.83%,24.05%,2.12%,12862,4234,492,17588,73.13%,24.07%,2.80%,34191,33292,30.91%,69.09%,31832,841,347,335,657,26
Iowa,Adair,2916,1086,78,4080,71.47%,26.62%,1.91%,2917,1198,62,4177,69.83%,28.68%,1.49%,7496,7682,0.00%,100.00%,7066,186,93,43,108,4
Iowa,Adams,1517,576,42,2135,71.05%,26.98%,1.97%,1530,590,40,2160,70.83%,27.31%,1.86%,3704,4029,0.00%,100.00%,3518,42,45,24,51,2
Iowa,Allamakee,4857,2350,111,7318,66.37%,32.11%,1.52%,4735,2576,111,7422,63.80%,34.71%,1.49%,14061,14330,0.00%,100.00%,12401,1221,193,74,201,12
Iowa,Appanoose,4704,1686,94,6484,72.55%,26.00%,1.45%,4512,1891,113,6516,69.24%,29.02%,1.74%,12317,12887,42.78%,57.22%,11586,231,131,118,198,20
Iowa,Audubon,2214,970,65,3249,68.14%,29.86%,2.00%,2295,1071,54,3420,67.11%,31.32%,1.57%,5674,6119,0.00%,100.00%,5443,86,56,31,62,10
Iowa,Benton,9549,4739,221,14509,65.81%,32.66%,1.52%,9188,5160,294,14642,62.75%,35.24%,2.01%,25575,26076,18.69%,81.31%,24077,462,311,157,385,16
Iowa,Black Hawk,30572,31299,1035,62906,48.60%,49.76%,1.65%,29640,35647,1306,66593,44.51%,53.53%,1.96%,131144,131090,87.03%,12.97%,101150,6448,16476,4248,2078,975
Iowa,Boone,9199,5895,309,15403,59.72%,38.27%,2.01%,8695,6303,342,15340,56.68%,41.09%,2.23%,26715,26306,46.83%,53.17%,24720,709,504,207,444,30
Iowa,Bremer,8799,5571,237,14607,60.24%,38.14%,1.62%,8294,5958,294,14546,57.02%,40.96%,2.02%,24988,24276,36.65%,63.35%,23403,511,416,300,278,15
Iowa,Buchanan,6790,3766,194,10750,63.16%,35.03%,1.80%,6420,4169,185,10774,59.59%,38.70%,1.71%,20565,20958,32.92%,67.08%,19565,338,169,118,276,22
Iowa,Buena Vista,4962,2462,113,7537,65.84%,32.67%,1.50%,5056,2961,150,8167,61.91%,36.26%,1.83%,20823,20260,56.96%,43.04%,11377,5925,682,2016,318,640
Iowa,Butler,5784,2144,118,8046,71.89%,26.65%,1.47%,5542,2424,132,8098,68.44%,29.93%,1.63%,14334,14867,0.00%,100.00%,13751,183,84,74,160,17
Iowa,Calhoun,3708,1328,61,5097,72.75%,26.05%,1.20%,3689,1470,99,5258,70.16%,27.96%,1.88%,9927,9670,0.00%,100.00%,9261,236,234,59,140,15
Iowa,Carroll,7814,3153,173,11140,70.14%,28.30%,1.55%,7737,3454,144,11335,68.26%,30.47%,1.27%,20760,20816,48.89%,51.11%,19409,594,364,125,193,13
Iowa,Cass,5007,2077,133,7217,69.38%,28.78%,1.84%,4969,2201,106,7276,68.29%,30.25%,1.46%,13127,13956,50.34%,49.66%,12317,306,87,98,183,94
Iowa,Cedar,6390,4075,179,10644,60.03%,38.28%,1.68%,6161,4337,205,10703,57.56%,40.52%,1.92%,18505,18499,0.00%,100.00%,17334,462,185,145,283,17
Iowa,Cerro Gordo,12627,9955,438,23020,54.85%,43.25%,1.90%,12442,10941,418,23801,52.28%,45.97%,1.75%,43127,44151,79.67%,20.33%,37819,2243,1471,747,583,188
Iowa,Cherokee,4398,1611,96,6105,72.04%,26.39%,1.57%,4495,1936,87,6518,68.96%,29.70%,1.34%,11658,12072,40.36%,59.64%,10668,530,166,80,136,26
Iowa,Chickasaw,4234,1919,86,6239,67.86%,30.76%,1.38%,4308,2233,90,6631,64.97%,33.68%,1.35%,12012,12439,0.00%,100.00%,11173,481,142,45,149,16
Iowa,Clarke,3140,1265,74,4479,70.10%,28.24%,1.65%,3144,1466,60,4670,67.32%,31.39%,1.29%,9748,9286,54.20%,45.80%,7837,1534,78,101,195,53
Iowa,Clay,6047,2367,127,8541,70.80%,27.71%,1.49%,6137,2662,170,8969,68.42%,29.68%,1.90%,16384,16667,66.94%,33.06%,15025,704,200,171,229,11
Iowa,Clayton,6255,3017,128,9400,66.54%,32.10%,1.36%,6106,3340,148,9594,63.64%,34.81%,1.55%,17043,18129,0.93%,99.07%,16111,343,240,90,199,26
Iowa,Clinton,13964,9472,442,23878,58.48%,39.67%,1.85%,13361,10812,514,24687,54.12%,43.80%,2.08%,46460,49116,69.85%,30.15%,41226,1539,2141,480,856,37
Iowa,Crawford,4651,1812,82,6545,71.06%,27.69%,1.25%,4854,2220,80,7154,67.85%,31.03%,1.12%,16525,17096,49.27%,50.73%,10625,4912,465,363,337,19
Iowa,Dallas,32374,29402,1185,62961,51.42%,46.70%,1.88%,27987,26879,1156,56022,49.96%,47.98%,2.06%,99678,66135,78.65%,21.35%,81708,6515,3640,6011,1265,149
Iowa,Davis,3027,878,49,3954,76.56%,22.21%,1.24%,3032,1013,57,4102,73.92%,24.70%,1.38%,9110,8753,0.00%,100.00%,8735,144,34,49,103,11
Iowa,Decatur,2711,957,71,3739,72.51%,25.60%,1.90%,2615,1120,69,3804,68.74%,29.44%,1.82%,7645,8457,0.00%,100.00%,7010,211,174,65,139,34
Iowa,Delaware,6984,2978,176,10138,68.89%,29.37%,1.74%,6666,3157,180,10003,66.64%,31.56%,1.80%,17488,17764,28.09%,71.91%,16706,244,191,92,200,14
Iowa,Des Moines,10794,7935,325,19054,56.65%,41.64%,1.71%,10592,8893,471,19956,53.08%,44.56%,2.36%,38910,40325,73.02%,26.98%,32753,1245,3425,604,741,80
Iowa,Dickinson,7775,3297,162,11234,69.21%,29.35%,1.44%,7438,3661,145,11244,66.15%,32.56%,1.29%,17703,16667,73.19%,26.81%,16709,406,143,140,165,25
Iowa,Dubuque,28224,23705,841,52770,53.48%,44.92%,1.59%,27214,25657,1055,53926,50.47%,47.58%,1.95%,99266,93653,68.28%,31.72%,87349,2977,5350,1445,1208,887
Iowa,Emmet,3422,1315,61,4798,71.32%,27.41%,1.27%,3265,1520,68,4853,67.28%,31.32%,1.40%,9388,10302,61.50%,38.50%,8134,887,167,55,164,14
Iowa,Fayette,6325,3334,189,9848,64.23%,33.85%,1.92%,6145,3835,206,10186,60.33%,37.65%,2.02%,19559,20880,30.09%,69.91%,18053,520,389,157,306,16
Iowa,Floyd,4744,2782,124,7650,62.01%,36.37%,1.62%,4732,3172,128,8032,58.91%,39.49%,1.60%,15627,16303,46.43%,53.57%,13907,550,548,379,205,24
Iowa,Franklin,3431,1393,76,4900,70.02%,28.43%,1.55%,3422,1626,82,5130,66.71%,31.70%,1.59%,10019,10680,0.00%,100.00%,8034,1634,95,77,200,15
Iowa,Fremont,2711,1023,61,3795,71.44%,26.96%,1.61%,2711,1080,66,3857,70.29%,28.00%,1.71%,6605,7441,0.14%,99.86%,6145,190,42,39,131,20
Iowa,Greene,3211,1603,67,4881,65.79%,32.84%,1.37%,3223,1769,65,5057,63.73%,34.98%,1.29%,8771,9336,0.00%,100.00%,8188,256,85,77,143,18
Iowa,Grundy,4998,2019,129,7146,69.94%,28.25%,1.81%,4929,2206,141,7276,67.74%,30.32%,1.94%,12329,12453,0.00%,100.00%,11791,145,108,82,126,10
Iowa,Guthrie,4446,1974,123,6543,67.95%,30.17%,1.88%,4272,1985,114,6371,67.05%,31.16%,1.79%,10623,10954,0.00%,100.00%,9960,274,53,63,149,27
Iowa,Hamilton,5004,2482,111,7597,65.87%,32.67%,1.46%,4956,2843,144,7943,62.39%,35.79%,1.82%,15039,15673,50.58%,49.42%,12702,1465,208,394,269,13
Iowa,Hancock,4336,1523,80,5939,73.01%,25.64%,1.35%,4390,1683,99,6172,71.13%,27.27%,1.60%,10795,11341,0.00%,100.00%,9813,614,136,55,162,21
Iowa,Hardin,5790,2553,117,8460,68.44%,30.18%,1.38%,5850,2976,163,8989,65.08%,33.11%,1.81%,16878,17534,29.97%,70.03%,15292,818,242,202,247,46
Iowa,Harrison,5566,2245,148,7959,69.93%,28.21%,1.86%,5569,2440,146,8155,68.29%,29.92%,1.79%,14582,14928,0.00%,100.00%,13818,293,83,83,236,6
Iowa,Henry,6439,2995,166,9600,67.07%,31.20%,1.73%,6507,3275,200,9982,65.19%,32.81%,2.00%,20482,20145,45.33%,54.67%,17643,1083,715,588,318,28
Iowa,Howard,3157,1619,74,4850,65.09%,33.38%,1.53%,3127,1772,59,4958,63.07%,35.74%,1.19%,9469,9566,0.00%,100.00%,8890,258,77,71,136,13
Iowa,Humboldt,3770,1236,77,5083,74.17%,24.32%,1.51%,3819,1442,66,5327,71.69%,27.07%,1.24%,9597,9815,55.63%,44.37%,8823,430,115,57,89,19
Iowa,Ida,2771,826,58,3655,75.81%,22.60%,1.59%,2880,917,52,3849,74.82%,23.82%,1.36%,7005,7089,0.00%,100.00%,6554,255,52,43,59,21
Iowa,Iowa,6068,3400,171,9639,62.95%,35.27%,1.77%,6009,3547,186,9742,61.68%,36.41%,1.91%,16662,16355,0.00%,100.00%,15394,495,222,162,269,32
Iowa,Jackson,7074,3567,160,10801,65.49%,33.02%,1.48%,6940,4029,166,11135,62.33%,36.18%,1.49%,19485,19848,31.30%,68.70%,18369,237,272,90,218,213
Iowa,Jasper,12701,7141,356,20198,62.88%,35.35%,1.76%,12084,7737,363,20184,59.87%,38.33%,1.80%,37813,36842,42.16%,57.84%,34445,1087,971,373,618,76
Iowa,Jefferson,4353,3788,205,8346,52.16%,45.39%,2.46%,4443,4319,197,8959,49.59%,48.21%,2.20%,15663,16843,58.81%,41.19%,13425,610,540,609,331,34
Iowa,Johnson,26087,58846,1711,86644,30.11%,67.92%,1.97%,22925,59177,1749,83851,27.34%,70.57%,2.09%,152854,130882,83.34%,16.66%,114491,10198,15065,10415,1976,207
Iowa,Jones,6820,3942,218,10980,62.11%,35.90%,1.99%,6572,4213,204,10989,59.81%,38.34%,1.85%,20646,20638,26.21%,73.79%,19002,497,585,130,306,37
Iowa,Keokuk,3869,1219,62,5150,75.13%,23.67%,1.20%,3797,1414,92,5303,71.60%,26.66%,1.74%,10033,10511,0.00%,100.00%,9476,215,123,41,135,11
Iowa,Kossuth,5983,2284,130,8397,71.25%,27.20%,1.55%,6275,2696,119,9090,69.03%,29.66%,1.31%,14828,15543,36.71%,63.29%,13758,603,148,129,136,14
Iowa,Lee,10152,5659,387,16198,62.67%,34.94%,2.39%,9773,6541,420,16734,58.40%,39.09%,2.51%,33555,35862,59.05%,40.95%,29888,1110,1510,244,730,35
Iowa,Linn,54237,66358,2364,122959,44.11%,53.97%,1.92%,53364,70874,3220,127458,41.87%,55.61%,2.52%,230299,211226,86.31%,13.69%,187911,8911,21491,7137,3904,715
Iowa,Louisa,3584,1480,78,5142,69.70%,28.78%,1.52%,3500,1726,106,5332,65.64%,32.37%,1.99%,10837,11387,0.00%,100.00%,8485,1728,132,304,207,6
Iowa,Lucas,3400,1169,77,4646,73.18%,25.16%,1.66%,3287,1284,59,4630,70.99%,27.73%,1.28%,8634,8898,0.00%,100.00%,8154,198,69,59,84,23
Iowa,Lyon,5899,1023,80,7002,84.25%,14.61%,1.14%,5707,1067,89,6863,83.16%,15.55%,1.29%,11934,11581,0.00%,100.00%,11175,407,108,53,119,48
Iowa,Madison,6864,3008,156,10028,68.45%,30.00%,1.56%,6507,3134,183,9824,66.24%,31.90%,1.86%,16548,15679,30.68%,69.32%,15504,316,137,182,262,34
Iowa,Mahaska,8207,2577,162,10946,74.98%,23.54%,1.48%,8297,2894,213,11404,72.76%,25.38%,1.86%,22190,22381,56.52%,43.48%,20259,480,590,379,335,41
Iowa,Marion,13289,5928,349,19566,67.92%,30.30%,1.78%,12663,6178,391,19232,65.84%,32.12%,2.04%,33414,33309,53.03%,46.97%,30918,700,486,576,483,42
Iowa,Marshall,9815,7134,321,17270,56.83%,41.31%,1.86%,9571,8176,389,18136,52.77%,45.08%,2.15%,40105,40648,68.27%,31.73%,27438,9140,1151,1706,858,56
Iowa,Mills,5671,2456,126,8253,68.71%,29.76%,1.53%,5585,2508,175,8268,67.55%,30.33%,2.12%,14484,15059,34.58%,65.42%,13330,461,175,103,249,22
Iowa,Mitchell,3736,1943,92,5771,64.74%,33.67%,1.59%,3677,2053,92,5822,63.16%,35.26%,1.58%,10565,10776,0.00%,100.00%,10080,193,86,87,111,22
Iowa,Monona,3331,1236,70,4637,71.84%,26.66%,1.51%,3248,1407,73,4728,68.70%,29.76%,1.54%,8751,9243,0.00%,100.00%,8051,236,105,45,265,11
Iowa,Monroe,3104,1002,52,4158,74.65%,24.10%,1.25%,2975,1078,35,4088,72.77%,26.37%,0.86%,7577,7970,0.00%,100.00%,7192,117,86,52,76,9
Iowa,Montgomery,3486,1508,80,5074,68.70%,29.72%,1.58%,3659,1583,85,5327,68.69%,29.72%,1.59%,10330,10740,53.40%,46.60%,9603,371,70,43,203,4
Iowa,Muscatine,11152,8212,388,19752,56.46%,41.58%,1.96%,10823,9372,476,20671,52.36%,45.34%,2.30%,43235,42745,58.16%,41.84%,32633,7769,1540,566,852,8
Iowa,O'Brien,5998,1428,99,7525,79.71%,18.98%,1.32%,5861,1569,121,7551,77.62%,20.78%,1.60%,14182,14398,36.18%,63.82%,12609,985,256,139,186,19
Iowa,Osceola,2623,555,51,3229,81.23%,17.19%,1.58%,2690,601,37,3328,80.83%,18.06%,1.11%,6182,6462,0.00%,100.00%,5341,603,62,52,100,42
Iowa,Page,5153,2060,109,7322,70.38%,28.13%,1.49%,5319,2086,123,7528,70.66%,27.71%,1.63%,15211,15932,66.24%,33.76%,13686,464,447,228,339,17
Iowa,Palo Alto,3576,1338,68,4982,71.78%,26.86%,1.36%,3370,1519,69,4958,67.97%,30.64%,1.39%,8996,9421,0.00%,100.00%,8391,274,84,77,131,14
Iowa,Plymouth,10661,3104,206,13971,76.31%,22.22%,1.47%,10492,3494,202,14188,73.95%,24.63%,1.42%,25698,24986,39.45%,60.55%,22941,1496,547,203,331,140
Iowa,Pocahontas,2727,796,59,3582,76.13%,22.22%,1.65%,2826,933,64,3823,73.92%,24.40%,1.68%,7078,7310,0.00%,100.00%,6383,354,110,58,136,32
Iowa,Polk,112240,140075,4523,256838,43.70%,54.54%,1.76%,106800,146250,5705,258755,41.27%,56.52%,2.21%,492401,430640,95.53%,4.47%,362260,48055,44015,29178,8740,832
Iowa,Pottawattamie,26335,17468,756,44559,59.10%,39.20%,1.70%,26247,18575,922,45744,57.38%,40.61%,2.01%,93667,93158,73.07%,26.93%,79181,7660,2929,1231,2304,163
Iowa,Poweshiek,5758,4067,188,10013,57.51%,40.62%,1.88%,5657,4306,177,10140,55.79%,42.47%,1.74%,18662,18914,50.83%,49.17%,17004,529,448,321,284,29
Iowa,Ringgold,2015,638,33,2686,75.02%,23.75%,1.23%,1968,709,37,2714,72.51%,26.12%,1.37%,4663,5131,0.00%,100.00%,4447,71,38,34,75,1
Iowa,Sac,4100,1289,71,5460,75.09%,23.61%,1.30%,4061,1389,85,5535,73.37%,25.09%,1.54%,9814,10350,0.00%,100.00%,9161,354,100,63,96,23
Iowa,Scott,45976,42479,1678,90133,51.01%,47.13%,1.86%,43683,46926,1990,92599,47.17%,50.68%,2.15%,174669,165224,86.72%,13.28%,134578,12092,18714,6234,3856,217
Iowa,Shelby,4600,1811,94,6505,70.71%,27.84%,1.45%,4697,1959,139,6795,69.12%,28.83%,2.05%,11746,12167,40.12%,59.88%,10890,412,116,72,192,12
Iowa,Sioux,16053,2626,322,19001,84.49%,13.82%,1.69%,15680,3019,352,19051,82.31%,15.85%,1.84%,35872,33704,43.39%,56.61%,29919,4914,349,352,386,17
Iowa,Story,21665,26765,1096,49526,43.74%,54.04%,2.21%,20340,29175,1523,51038,39.85%,57.16%,2.99%,98537,89542,74.15%,25.85%,79944,5032,3980,7613,1395,1342
Iowa,Tama,5379,3070,167,8616,62.43%,35.63%,1.94%,5303,3577,168,9048,58.61%,39.53%,1.86%,17135,17767,30.71%,69.29%,13284,1804,276,145,1809,51
Iowa,Taylor,2381,666,34,3081,77.28%,21.62%,1.10%,2463,746,40,3249,75.81%,22.96%,1.23%,5896,6317,0.00%,100.00%,5304,399,37,27,93,9
Iowa,Union,4044,1874,95,6013,67.25%,31.17%,1.58%,4010,2061,114,6185,64.83%,33.32%,1.85%,12138,12534,61.85%,38.15%,11223,399,216,103,200,18
Iowa,Van Buren,2785,778,62,3625,76.83%,21.46%,1.71%,2859,875,57,3791,75.42%,23.08%,1.50%,7203,7570,0.00%,100.00%,6878,114,73,37,106,12
Iowa,Wapello,9479,4896,208,14583,65.00%,33.57%,1.43%,9516,5821,296,15633,60.87%,37.24%,1.89%,35437,35625,70.60%,29.40%,27295,4332,1805,789,764,581
Iowa,Warren,19486,12712,606,32804,59.40%,38.75%,1.85%,17782,12574,683,31039,57.29%,40.51%,2.20%,52403,46225,52.93%,47.07%,47897,1658,855,673,805,76
Iowa,Washington,7119,4297,172,11588,61.43%,37.08%,1.48%,6971,4561,233,11765,59.25%,38.77%,1.98%,22565,21704,30.34%,69.66%,19958,1612,329,214,342,13
Iowa,Wayne,2426,643,55,3124,77.66%,20.58%,1.76%,2338,727,44,3109,75.20%,23.38%,1.42%,6497,6403,0.00%,100.00%,6228,61,60,52,79,15
Iowa,Webster,10850,5641,257,16748,64.78%,33.68%,1.53%,10938,6613,271,17822,61.37%,37.11%,1.52%,36999,38013,66.76%,33.24%,31372,2063,2534,449,610,60
Iowa,Winnebago,3636,1909,97,5642,64.45%,33.84%,1.72%,3707,2135,128,5970,62.09%,35.76%,2.15%,10679,10866,0.00%,100.00%,9472,594,304,135,113,17
Iowa,Winneshiek,6427,5321,231,11979,53.65%,44.42%,1.93%,6235,5617,212,12064,51.68%,46.56%,1.76%,20070,21056,39.83%,60.17%,18705,585,221,274,190,23
Iowa,Woodbury,25969,16145,807,42921,60.50%,37.62%,1.88%,25736,18704,922,45362,56.73%,41.23%,2.04%,105941,102172,83.87%,16.13%,72237,18746,7176,3691,4475,783
Iowa,Worth,2715,1508,64,4287,63.33%,35.18%,1.49%,2738,1596,84,4418,61.97%,36.12%,1.91%,7443,7598,0.00%,100.00%,6946,211,108,53,84,8
Iowa,Wright,3853,1770,100,5723,67.32%,30.93%,1.75%,4136,1996,122,6254,66.13%,31.92%,1.95%,12943,13229,0.00%,100.00%,10107,2394,132,137,207,18
Kansas,Allen,4029,1445,146,5620,71.69%,25.71%,2.60%,4218,1570,104,5892,71.59%,26.65%,1.77%,12526,13371,46.66%,53.34%,10991,502,337,134,539,34
Kansas,Anderson,2998,732,72,3802,78.85%,19.25%,1.89%,2929,782,81,3792,77.24%,20.62%,2.14%,7836,8102,0.00%,100.00%,7259,155,96,59,237,7
Kansas,Atchison,4911,2201,172,7284,67.42%,30.22%,2.36%,4906,2359,175,7440,65.94%,31.71%,2.35%,16348,16924,66.72%,33.28%,13925,583,1151,175,409,44
Kansas,Barber,1854,288,28,2170,85.44%,13.27%,1.29%,2014,291,37,2342,85.99%,12.43%,1.58%,4228,4861,0.00%,100.00%,3814,162,54,42,138,11
Kansas,Barton,8205,2207,205,10617,77.28%,20.79%,1.93%,8608,2340,202,11130,77.20%,20.99%,1.64%,25493,27674,57.92%,42.08%,19911,4127,561,144,748,13
Kansas,Bourbon,5003,1444,145,6592,75.90%,21.91%,2.20%,5023,1541,112,6676,75.24%,23.08%,1.68%,14360,15173,51.80%,48.20%,12451,386,663,173,605,24
