State,County,2024R,2024D,2024O,2024TOT,2024RPCT,2024DPCT,2024OPCT,2020R,2020D,2020O,2020TOT,2020RPCT,2020DPCT,2020OPCT,2020POP,2010POP,Urban20,Rural20,White20,Hispanic20,Black20,Asian20,Native20,Pacific20
California,Nevada,26177,33784,2183,62144,42.12%,54.36%,3.51%,26779,36359,1612,64750,56.15%,41.36%,2.49%,102284,98764,51.80%,48.20%,82882,10409,1138,2931,4097,523
California,Orange,654815,691731,44761,1391307,47.06%,49.72%,3.22%,676498,814009,31606,1522113,53.48%,44.44%,2.08%,3193010,3010232,99.75%,0.25%,1200128,1090281,86677,793063,87797,22407
California,Placer,123941,103958,6972,234871,52.77%,44.26%,2.97%,122488,106869,5727,235084,45.46%,52.10%,2.44%,405307,348432,85.42%,14.58%,272845,60742,11875,47550,13697,3427
California,Plumas,5725,4020,325,10070,56.85%,39.92%,3.23%,6445,4561,254,11260,40.51%,57.24%,2.26%,19839,20007,0.00%,100.00%,16033,1903,315,394,1243,138
California,Riverside,463677,451782,25051,940510,49.30%,48.04%,2.66%,449144,528340,19672,997156,52.98%,45.04%,1.97%,2417438,2189641,94.53%,5.47%,788729,1201329,196878,217236,97501,18145
California,Sacramento,252140,381564,23043,656747,38.39%,58.10%,3.51%,259405,440808,18227,718440,61.36%,36.11%,2.54%,1584884,1418788,97.60%,2.40%,650521,373297,192570,332286,57154,30637
California,San Benito,11702,15179,771,27652,42.32%,54.89%,2.79%,10590,17628,612,28830,61.14%,36.73%,2.12%,64338,55269,77.26%,22.74%,19816,39327,1259,3634,3330,474
California,San Bernardino,378416,362114,21316,761846,49.67%,47.53%,2.80%,366257,455859,19014,841130,54.20%,43.54%,2.26%,2180152,2035210,94.62%,5.38%,565166,1170440,221674,217505,90580,15435
California,San Diego,593270,841372,43386,1478028,40.14%,56.93%,2.94%,600094,964650,37399,1602143,60.21%,37.46%,2.33%,3302262,3095313,95.61%,4.39%,1423028,1121001,210019,512824,104787,34446
California,San Francisco,62594,323719,16684,402997,15.53%,80.33%,4.14%,56417,378156,8980,443553,85.26%,12.72%,2.02%,874993,805235,100.00%,0.00%,341449,136960,59547,327255,17004,6942
California,San Joaquin,128996,126647,8066,263709,48.92%,48.03%,3.06%,121098,161137,6257,288492,55.85%,41.98%,2.17%,777313,685306,92.25%,7.75%,214661,325178,73443,159302,30497,10303
California,San Luis Obispo,64932,81314,4566,150812,43.05%,53.92%,3.03%,67436,88310,3968,159714,55.29%,42.22%,2.48%,279216,269637,80.91%,19.09%,183035,66906,5518,16154,10008,1478
California,San Mateo,76616,242957,10992,330565,23.18%,73.50%,3.33%,75584,291496,7171,374251,77.89%,20.20%,1.92%,765417,718451,98.29%,1.71%,276085,191778,24242,259023,16691,14110
California,Santa Barbara,64870,114149,5762,184781,35.11%,61.78%,3.12%,65736,129963,4640,200339,64.87%,32.81%,2.32%,446704,423895,94.43%,5.57%,184148,210164,12213,35706,18903,2326
California,Santa Clara,210924,510744,28938,750606,28.10%,68.04%,3.86%,214612,617967,18162,850741,72.64%,25.23%,2.13%,1940140,1781642,98.68%,1.32%,556386,489445,63941,817487,45399,15021
California,Santa Cruz,27978,100998,5179,134155,20.85%,75.28%,3.86%,26937,114246,3654,144837,78.88%,18.60%,2.52%,271352,262382,86.71%,13.29%,145721,94576,6345,19158,10088,1563
California,Shasta,59539,27130,2250,88919,66.96%,30.51%,2.53%,60789,30000,2141,92930,32.28%,65.41%,2.30%,183199,177223,66.21%,33.79%,137759,19779,3920,8393,12612,989
California,Sierra,1066,641,48,1755,60.74%,36.52%,2.74%,1142,730,59,1931,37.80%,59.14%,3.06%,3244,3240,1.24%,98.76%,2621,377,63,75,155,37
California,Siskiyou,12461,8329,708,21498,57.96%,38.74%,3.29%,13290,9593,589,23472,40.87%,56.62%,2.51%,44207,44900,29.09%,70.91%,32179,5499,987,1355,4341,242
California,Solano,70345,113997,5541,189883,37.05%,60.04%,2.92%,69306,131639,4932,205877,63.94%,33.66%,2.40%,447857,413344,95.54%,4.46%,154095,126261,73323,90137,16419,9027
California,Sonoma,63426,179600,8439,251465,25.22%,71.42%,3.36%,61825,199938,6554,268317,74.52%,23.04%,2.44%,489713,483878,86.37%,13.63%,286138,141762,13648,33119,20701,4113
California,Stanislaus,106986,85347,5192,197525,54.16%,43.21%,2.63%,104145,105841,4968,214954,49.24%,48.45%,2.31%,554730,514453,91.83%,8.17%,208618,266748,23366,45202,25729,7392
California,Sutter,25372,13016,951,39339,64.50%,33.09%,2.42%,24375,17367,902,42644,40.73%,57.16%,2.12%,99926,94737,84.93%,15.07%,41499,31675,3342,20252,5174,736
California,Tehama,18503,7415,618,26536,69.73%,27.94%,2.33%,19141,8911,679,28731,31.02%,66.62%,2.36%,65973,63463,42.97%,57.03%,41504,17950,994,1621,4317,350
California,Trinity,2979,2449,218,5646,52.76%,43.38%,3.86%,3188,2851,220,6259,45.55%,50.93%,3.51%,16101,13786,0.00%,100.00%,11390,922,123,2380,1197,88
California,Tulare,81854,53221,3234,138309,59.18%,38.48%,2.34%,77579,66105,3201,146885,45.00%,52.82%,2.18%,475056,442179,79.94%,20.06%,125363,311286,11222,22712,22422,1784
California,Tuolumne,17210,10909,697,28816,59.72%,37.86%,2.42%,17689,11978,741,30408,39.39%,58.17%,2.44%,53008,55365,52.16%,47.84%,41708,5983,638,1455,2984,346
California,Ventura,158901,217424,11379,387704,40.99%,56.08%,2.93%,162207,251388,9230,422825,59.45%,38.36%,2.18%,845390,823318,96.63%,3.37%,361204,366277,25446,84387,31918,5101
